发送时间：2019-03-05 17:38:17 	 服务器地址：http://192.168.0.123:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-03-05 18:28:30 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-03-06 19:12:31 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-03-06 19:17:53 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-03-06 19:18:42 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败 
发送时间：2019-03-06 19:19:51 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2019-03-07 14:03:33 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：None 
发送时间：2019-03-07 14:04:11 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：None 
发送时间：2019-03-07 19:19:29 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经添加入或更新待审批区！ 
发送时间：2019-03-07 19:19:56 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经添加入或更新待审批区！ 
发送时间：2019-03-07 19:35:27 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2019-03-13 11:25:16 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已更新! 
发送时间：2019-03-13 11:27:26 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
